epoch,epoch_train_loss,epoch_val_loss,epoch_val_rsquare,step,test_loss,train_loss,val_loss
0,,,,99,,6.865079879760742,
0,,,,199,,5.555403232574463,
0,,6.345811367034912,0.26077383756637573,244,,,6.345811367034912
0,7.093111515045166,,,244,,,
1,,,,299,,5.00745153427124,
1,,,,399,,6.273004531860352,
1,,5.585378646850586,0.4361622929573059,489,,,5.585378646850586
1,5.7579827308654785,,,489,,,
2,,,,499,,6.244113922119141,
2,,,,599,,5.296411037445068,
2,,,,699,,5.961009979248047,
2,,5.489087104797363,0.4989585876464844,734,,,5.489087104797363
2,5.473794937133789,,,734,,,
3,,,,799,,4.449253559112549,
3,,,,899,,5.813871383666992,
3,,5.223654747009277,0.49059993028640747,979,,,5.223654747009277
3,5.294671535491943,,,979,,,
4,,,,999,,4.144976615905762,
4,,,,1099,,5.486536979675293,
4,,,,1199,,4.4734344482421875,
4,,5.927263259887695,0.5260924100875854,1224,,,5.927263259887695
4,5.176313400268555,,,1224,,,
5,,,,1299,,5.781685829162598,
5,,,,1399,,5.284269332885742,
5,,4.992038249969482,0.5529729127883911,1469,,,4.992038249969482
5,5.117217063903809,,,1469,,,
6,,,,1499,,4.063503265380859,
6,,,,1599,,4.9751715660095215,
6,,,,1699,,4.596437931060791,
6,,4.932474613189697,0.5716103315353394,1714,,,4.932474613189697
6,5.039778709411621,,,1714,,,
7,,,,1799,,4.587235450744629,
7,,,,1899,,4.315261363983154,
7,,5.052024841308594,0.5988883972167969,1959,,,5.052024841308594
7,4.983530044555664,,,1959,,,
8,,,,1999,,4.693966388702393,
8,,,,2099,,5.250575065612793,
8,,,,2199,,5.282986640930176,
8,,4.859131336212158,0.6130087375640869,2204,,,4.859131336212158
8,4.969419002532959,,,2204,,,
9,,,,2299,,4.943532466888428,
9,,,,2399,,5.307584762573242,
9,,4.877547264099121,0.613426923751831,2449,,,4.877547264099121
9,4.9337005615234375,,,2449,,,
10,,,,2499,,5.1453423500061035,
10,,,,2599,,4.908367156982422,
10,,4.800119400024414,0.6129355430603027,2694,,,4.800119400024414
10,4.903445243835449,,,2694,,,
11,,,,2699,,4.298122406005859,
11,,,,2799,,5.837152481079102,
11,,,,2899,,4.592767715454102,
11,,4.703149318695068,0.631743311882019,2939,,,4.703149318695068
11,4.832427024841309,,,2939,,,
12,,,,2999,,4.7357940673828125,
12,,,,3099,,5.7509870529174805,
12,,5.446718215942383,0.580910325050354,3184,,,5.446718215942383
12,4.746456146240234,,,3184,,,
13,,,,3199,,4.622381210327148,
13,,,,3299,,4.021984577178955,
13,,,,3399,,4.78217077255249,
13,,4.9254045486450195,0.62018883228302,3429,,,4.9254045486450195
13,4.673122406005859,,,3429,,,
14,,,,3499,,4.750414848327637,
14,,,,3599,,5.200405597686768,
14,,4.597601890563965,0.6191434860229492,3674,,,4.597601890563965
14,4.592045783996582,,,3674,,,
15,,,,3699,,5.002933025360107,
15,,,,3799,,5.562781810760498,
15,,,,3899,,4.335653305053711,
15,,4.976614475250244,0.6377195119857788,3919,,,4.976614475250244
15,4.569578647613525,,,3919,,,
16,,,,3999,,4.633418560028076,
16,,,,4099,,4.722474575042725,
16,,4.6773681640625,0.6538770794868469,4164,,,4.6773681640625
16,4.537496089935303,,,4164,,,
17,,,,4199,,4.984147548675537,
17,,,,4299,,3.812814235687256,
17,,,,4399,,4.309947967529297,
17,,4.364859580993652,0.6635260581970215,4409,,,4.364859580993652
17,4.495070934295654,,,4409,,,
18,,,,4499,,5.326308727264404,
18,,,,4599,,4.393904685974121,
18,,4.612992286682129,0.6015448570251465,4654,,,4.612992286682129
18,4.4381890296936035,,,4654,,,
19,,,,4699,,3.6736011505126953,
19,,,,4799,,3.996096611022949,
19,,,,4899,,5.528895378112793,
19,,4.782565116882324,0.6474242210388184,4899,,,4.782565116882324
19,4.441586971282959,,,4899,,,
20,,,,4999,,3.9196557998657227,
20,,,,5099,,4.731231689453125,
20,,4.650223255157471,0.6773842573165894,5144,,,4.650223255157471
20,4.401325702667236,,,5144,,,
21,,,,5145,4.577469825744629,,
